kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
cmm_sim.1.sm_70.ptx 184 : 32 160 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 183 : 32 128 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 182 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 181 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 180 : 32 224 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 179 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 178 : 32 160 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 177 : 32 160 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 174 : 32 0 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 173 : 32 192 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 172 : 32 352 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 171 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 170 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 169 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 168 : 32 768 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 167 : 32 6176 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 166 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 165 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 164 : 32 768 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 163 : 32 6176 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 162 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 161 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 160 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 159 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 158 : 32 768 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 157 : 32 6176 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 156 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 155 : 32 768 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 154 : 32 6176 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 153 : 32 320 0 0 0 0 0 0 0 
